mode: atomic
pkg1/file1.go:16.47,18.3 1 0
pkg1/file1.go:22.13,30.2 6 1
pkg1/file1.go:32.55,33.55 1 0
pkg1/file1.go:33.55,36.3 2 0
pkg1/file2.go:30.16,32.42 2 0
pkg1/file2.go:32.42,35.3 2 0
pkg1/file2.go:38.13,44.12 4 1
pkg1/file2.go:44.12,47.3 2 1
pkg1/file2.go:49.2,58.39 9 1
pkg2/file1.go:17.53,26.2 5 0
pkg2/file1.go:28.44,30.2 1 0
pkg2/file1.go:37.86,39.45 1 0
pkg2/file1.go:39.45,41.35 2 0
pkg2/file1.go:41.35,42.21 1 0
pkg2/file1.go:41.35,42.21 1 1
pkg2/file1.go:42.21,44.5 1 0
pkg2/file1.go:44.10,46.5 1 0
pkg2/file1.go:48.4,49.35 2 0
pkg2/file1.go:49.35,52.5 2 0
pkg2/file1.go:53.4,53.54 1 0
pkg2/file1.go:53.54,55.5 1 0
pkg2/file1.go:56.4,59.6 1 0
pkg2/file1.go:62.3,64.38 3 0
pkg2/file1.go:64.38,66.45 2 0
pkg2/file1.go:66.45,69.5 2 0
pkg2/file1.go:69.10,69.44 1 0
pkg2/file1.go:69.44,72.5 2 0
pkg2/file1.go:75.3,76.32 2 0
pkg2/file1.go:76.32,79.4 2 0
pkg2/file1.go:81.3,81.53 1 0
pkg2/file1.go:81.53,83.18 2 0
pkg2/file1.go:83.18,85.5 1 0
pkg2/file1.go:86.4,86.14 1 0
pkg2/file1.go:89.3,97.5 2 0
pkg2/file2.go:18.74,33.76 7 0
pkg2/file2.go:33.76,38.7 3 0
pkg2/file2.go:38.7,40.40 2 0
pkg2/file2.go:40.40,46.53 5 0
pkg2/file2.go:46.53,48.18 2 0
pkg2/file2.go:50.5,50.33 1 0
pkg2/file2.go:50.33,51.11 1 0
pkg2/file2.go:54.4,54.17 1 0
pkg2/file2.go:62.2,62.18 1 0
pkg2/file2.go:70.98,73.64 2 221
pkg2/file2.go:73.64,82.33 5 442
pkg2/file2.go:82.33,86.8 3 5168
pkg2/file2.go:86.8,88.41 2 5168
pkg2/file2.go:88.41,94.54 5 4438130
pkg2/file2.go:94.54,95.19 1 5168
pkg2/file2.go:97.6,97.34 1 4432962
pkg2/file2.go:97.34,98.12 1 0
pkg2/file2.go:101.5,101.18 1 0
pkg2/file2.go:103.4,105.16 3 5168
pkg2/file2.go:109.2,111.34 3 221
pkg2/file2.go:111.34,113.3 1 442
pkg2/file2.go:114.2,114.57 1 221
pkg2/file2.go:114.57,116.3 1 5168
pkg2/file2.go:118.2,122.41 3 221
pkg2/file2.go:122.41,126.26 3 5168
pkg2/file2.go:126.26,128.4 1 41344
pkg2/file2.go:132.2,134.18 2 221
